Sunday,Office,Service,Psalms,FirstLesson,SecondLesson
TWENTY-SECOND SUNDAY AFTER TRINITY,Evening,Communion,51,1 Ki. 8:46-53,Luke 7:36-50
TWENTY-SECOND SUNDAY AFTER TRINITY,Morning,Prayer,147,Zech. 3,1 John 2:24-29
TWENTY-SECOND SUNDAY AFTER TRINITY,Evening,Prayer,7,Zech. 7:8-14,Matt. 18:21-35
TWENTY-THIRD SUNDAY AFTER TRINITY,Morning,Prayer,33,"Jer. 29:1, 4-14",Titus 3:1-8
TWENTY-THIRD SUNDAY AFTER TRINITY,Evening,Prayer,19; 67,Ezek. 33:30-33,1 Cor. 4:8-16
TWENTY-THIRD SUNDAY AFTER TRINITY,Morning,Communion,8; 138,*Isa. 64,Matt. 23:1-12
TWENTY-THIRD SUNDAY AFTER TRINITY,Evening,Communion,72,Esther 6:10-7:10,Matt. 22:15-22
TWENTY-FOURTH SUNDAY AFTER TRINITY,Morning,Communion,66,*Mal. 3:13-4:3,Luke 10:17-24
TWENTY-FOURTH SUNDAY AFTER TRINITY,Evening,Communion,139,"Deut. 33:1-3, 26-29","Jude 1-4, 17-25"
TWENTY-FOURTH SUNDAY AFTER TRINITY,Morning,Prayer,20; 28,Lam. 3:19-33,1 Tim. 2:1-8
TWENTY-FOURTH SUNDAY AFTER TRINITY,Evening,Prayer,86,2 Ki. 4:18-37,Matt. 9:18-26
THIRD SUNDAY,Morning,Prayer,15; 85,Ruth 1:1-17,Col. 3:5-11
THIRD SUNDAY,Evening,Prayer,21; 22:23-end,Joel 3:9-17,Matt. 13:36-52
BEFORE ADVENT,Morning,Communion,112; 113,"*Hab. 1:12-2:4, 9-14",Luke 12:35-48
BEFORE ADVENT,Evening,Communion,7,Amos 5:14-24,Gal. 6:1-10
SECOND SUNDAY BEFORE ADVENT,Morning,Prayer,75; 138,Isa. 2:6-19,Matt. 25:14-29
SECOND SUNDAY BEFORE ADVENT,Evening,Prayer,9,"Gen. 19:1-3, 12-17, 24-28",Luke 17:20-37
SECOND SUNDAY BEFORE ADVENT,Morning,Communion,93; 98,"*Isa. 66:1-2, 10-23",2 Thes. 1
SECOND SUNDAY BEFORE ADVENT,Evening,Communion,76; 96,Deut. 4:23-31,"2 Pet. 3:1-14, 17-18"
SUNDAY NEXTBEFORE ADVENT,Morning,Prayer,39,Jer. 4:23-31,Matt. 25:31-46
SUNDAY NEXTBEFORE ADVENT,Evening,Prayer,90,"Eccl. 11:9-12:8, 13-14",Heb. 13:1-21
SUNDAY NEXTBEFORE ADVENT,Morning,Communion,145,*Jer. 3:14-18,1 Cor. 11:17-32
SUNDAY NEXTBEFORE ADVENT,Evening,Communion,103,Isa. 25:1-9,John 5:17-29
